showDate	HolidayStatus	venue name	venue city	venue state	venue country	venue capacity
12/3/2022	0	Midflorida Credit Union Amphitheatre	Tampa	FL	United States	20000
12/4/2022	0	Audacy Beach Festival	Fort Lauderdale	FL	United States	11000
6/22/2022	0	Pnc Arena	Raleigh	NC	United States	19000
7/3/2022	2	Little Caesars Arena	Detroit	MI	United States	22000
7/5/2022	0	St. JosephÃ¢ÂS Health Amphitheater At Lakeview	Syracuse	NY	United States	17500
7/11/2022	0	Footprint Center	Phoenix	AZ	United States	19000
7/22/2022	0	Climate Pledge Arena	Seattle	WA	United States	17459
7/25/2022	0	Spokane Arena	Spokane	WA	United States	8039
7/27/2022	0	Fargodome	Fargo	ND	United States	25000
7/28/2022	0	Xcel Energy Center	Saint Paul	MN	United States	18000
8/7/2022	0	Ball Arena	Denver	CO	United States	21000
8/11/2022	0	Ruoff Music Center	Noblesville	IN	United States	24790
9/20/2022	0	Little Caesars Arena	Detroit	MI	United States	22000
10/7/2022	2	Gas South Arena	Duluth	GA	United States	13000
10/9/2022	2	Enterprise Center	St. Louis	MO	United States	19260
10/11/2022	0	Ball Arena	Denver	CO	United States	21000
10/16/2022	0	Climate Pledge Arena	Seattle	WA	United States	17459
5/17/2023	0	Great American Music Hall	San Francisco	CA	United States	740
9/7/2023	0	The Observatory	Santa Ana	CA	United States	1100
9/11/2023	0	Granada Theater	Dallas	TX	United States	1600
9/13/2023	0	White Oak Music Hall	Houston	TX	United States	1500
9/15/2023	0	Jannus Live	Saint Petersburg	FL	United States	2000
9/20/2023	0	The Orange Peel	Asheville	NC	United States	1050
10/14/2022	0	Garden Grove Ampitheater	Garden Grove	CA	United States	7000
11/30/2022	0	The Clubhouse	Toms River	NJ	United States	600
12/2/2022	0	Starland Ballroom	Sayreville	NJ	United States	2500
12/9/2022	0	Mulcahy'S	Wantagh	NY	United States	800
12/10/2022	0	The Palladium	Worcester	MA	United States	3700
8/3/2023	0	Pier 17	New York City	NY	United States	5000
3/3/2023	0	The Anthem	Washington	DC	United States	6000
3/16/2023	0	Mission Ballroom	Denver	CO	United States	3900
3/9/2023	0	Colonial Life Arena	Columbia	CA	United States	19000
4/2/2023	0	Dickies Arena	Fort Worth	TX	United States	14000
4/6/2023	0	Pechanga Arena	San Diego	CA	United States	16100
4/13/2023	0	Rocket Mortgage Fieldhouse	Cleveland	OH	United States	21000
4/23/2023	0	Greensboro Coliseum	Greensboro	NC	United States	23000
4/28/2023	0	Ftx Arena	Miami	FL	United States	20000
4/30/2023	0	Amalie Arena	Tampa	FL	United States	21500
3/20/2022	0	Staples Center	Los Angeles	CA	United States	21000
6/6/2023	0	Concord Pavilion	Concord	CA	United States	12500
6/7/2023	0	Santa Barbara Bowl	Santa Barbara	CA	United States	4562
6/9/2023	0	The Greek Theatre La	Los Angeles	CA	United States	5900
6/10/2023	0	North Island Credit Union Amphitheatre	Chula Vista	CA	United States	20500
6/11/2023	0	Talking Stick Resort Arena	Phoenix	AZ	United States	20000
6/13/2023	0	Usana Amphitheatre	West Valley City	UT	United States	15500
