Item Name,Product Type,Sex,Reorder,Size,SKU,Total Needed,On Hand,In Transit,Shows Left,+/-,Sales to Date,Inglewood - 03/05/25 ($35.00/head),Las Vegas - 03/08/25 ($30.00/head),Phoenix - 03/09/25 ($30.00/head),Austin - 03/12/25 ($30.00/head),San Antonio - 03/13/25 ($35.00/head),Dallas - 03/15/25 ($35.00/head),Houston - 03/16/25 ($32.00/head),Atlanta - 03/18/25 ($30.00/head),Orlando - 03/20/25 ($30.00/head),Sunrise - 03/22/25 ($30.00/head),Charlotte - 03/24/25 ($30.00/head),Nashville - 03/26/25 ($30.00/head),"Indianapolis, IN - 03/28/25 ($30.00/head)",Columbus - 03/29/25 ($30.00/head),Chicago - 03/31/25 ($30.00/head),Detroit - 04/01/25 ($30.00/head),New York City - 04/03/25 ($30.00/head),Philadelphia - 04/04/25 ($30.00/head),Washington - 04/06/25 ($30.00/head),Boston - 04/08/25 ($30.00/head),Newark - 04/09/25 ($30.00/head),Warehouse,Ordered,Global +/-
Pink 2025 Prism T-shirt,T-Shirt,Unisex,Not Set,M,DEFTONES-T1063-M,4238,573,0,1,-3665,716,403,173,187,158,235,218,184,173,173,173,216,187,187,202,202,202,202,187,202,187,187,0,0,-3665
Pink 2025 Prism T-shirt,T-Shirt,Unisex,Not Set,L,DEFTONES-T1063-L,4942,740,0,2,-4202,853,470,202,218,185,274,255,215,202,202,202,252,218,218,235,235,235,235,218,235,218,218,0,0,-4202
Pink 2025 Prism T-shirt,T-Shirt,Unisex,Not Set,XL,DEFTONES-T1063-XL,3707,650,0,2,-3057,647,353,151,164,139,206,191,161,151,151,151,189,164,164,176,176,176,176,164,176,164,164,0,0,-3057
Pink 2025 Prism T-shirt,T-Shirt,Unisex,Not Set,2XL,DEFTONES-T1063-XXL,1941,446,0,4,-1495,335,185,79,86,73,108,100,84,79,79,79,99,86,86,92,92,92,92,86,92,86,86,0,0,-1495
SACRAMENTO Exclusive T-shirt,T-Shirt,Unisex,Not Set,S,,1374,0,0,0,-1374,72,131,56,61,51,76,71,60,56,56,56,70,61,61,65,65,65,65,61,65,61,61,0,0,-1374
SACRAMENTO Exclusive T-shirt,T-Shirt,Unisex,Not Set,M,,2354,0,0,0,-2354,120,224,96,104,88,131,121,102,96,96,96,120,104,104,112,112,112,112,104,112,104,104,0,0,-2354
SACRAMENTO Exclusive T-shirt,T-Shirt,Unisex,Not Set,L,,2943,0,0,0,-2943,144,280,120,130,110,163,152,128,120,120,120,150,130,130,140,140,140,140,130,140,130,130,0,0,-2943
SACRAMENTO Exclusive T-shirt,T-Shirt,Unisex,Not Set,XL,,2354,0,0,0,-2354,118,224,96,104,88,131,121,102,96,96,96,120,104,104,112,112,112,112,104,112,104,104,0,0,-2354
SACRAMENTO Exclusive T-shirt,T-Shirt,Unisex,Not Set,2XL,,1569,0,0,0,-1569,73,149,64,69,59,87,81,68,64,64,64,80,69,69,75,75,75,75,69,75,69,69,0,0,-1569
SACRAMENTO Exclusive T-shirt,T-Shirt,Unisex,Not Set,3XL,,392,0,0,0,-392,24,37,16,17,15,22,20,17,16,16,16,20,17,17,19,19,19,19,17,19,17,17,0,0,-392
Pink 2025 Tour Longsleeve,Long Sleeve Shirt,Unisex,Not Set,S,DEFTONES-LS1015-S,680,159,0,4,-521,123,65,28,30,25,38,35,30,28,28,28,35,30,30,32,32,32,32,30,32,30,30,0,0,-521
Pink 2025 Tour Longsleeve,Long Sleeve Shirt,Unisex,Not Set,M,DEFTONES-LS1015-M,1222,233,0,3,-989,222,116,50,54,46,68,63,53,50,50,50,62,54,54,58,58,58,58,54,58,54,54,0,0,-989
Pink 2025 Tour Longsleeve,Long Sleeve Shirt,Unisex,Not Set,L,DEFTONES-LS1015-L,1358,207,0,2,-1151,242,129,55,60,51,75,70,59,55,55,55,69,60,60,65,65,65,65,60,65,60,60,0,0,-1151
Pink 2025 Tour Longsleeve,Long Sleeve Shirt,Unisex,Not Set,XL,DEFTONES-LS1015-XL,950,245,0,4,-705,169,90,39,42,36,53,49,41,39,39,39,48,42,42,45,45,45,45,42,45,42,42,0,0,-705
Pink 2025 Tour Longsleeve,Long Sleeve Shirt,Unisex,Not Set,2XL,DEFTONES-LS1015-XXL,544,204,0,7,-340,100,52,22,24,20,30,28,24,22,22,22,28,24,24,26,26,26,26,24,26,24,24,0,0,-340
White Prism 2025 Tour Longsleeve,Long Sleeve Shirt,Unisex,Not Set,S,DEFTONES-LS1014-S,408,84,0,3,-324,61,39,17,18,15,23,21,18,17,17,17,21,18,18,19,19,19,19,18,19,18,18,0,0,-324
White Prism 2025 Tour Longsleeve,Long Sleeve Shirt,Unisex,Not Set,M,DEFTONES-LS1014-M,815,222,0,5,-593,142,78,33,36,30,45,42,35,33,33,33,42,36,36,39,39,39,39,36,39,36,36,0,0,-593
White Prism 2025 Tour Longsleeve,Long Sleeve Shirt,Unisex,Not Set,L,DEFTONES-LS1014-L,1086,225,0,3,-861,203,103,44,48,41,60,56,47,44,44,44,55,48,48,52,52,52,52,48,52,48,48,0,0,-861
